obs,Q10,Q7,Q23,Q5,Q6,Q3,Q4,Q18,Jeu,Cluster,Score_Propension,Prediction,Interet_Carte,Prediction_Interet
1,1,3,1,1,2,2,3,2,test,0,0.9404769343221504,1,Oui,Oui
2,2,0,2,2,0,3,4,3,train,2,0.1330876539643125,0,Non,Non
3,1,2,1,1,2,1,3,2,train,0,0.8079893087886679,1,Oui,Oui
4,1,3,3,1,2,2,2,4,test,1,0.7431981186276695,1,Oui,Oui
5,1,5,2,1,1,2,3,3,train,0,0.9044590139021625,1,Oui,Oui
6,2,2,2,1,3,2,2,4,test,1,0.2388624843589856,0,Non,Non
7,1,5,1,1,1,2,1,2,test,0,0.951613401648344,1,Oui,Oui
8,1,3,1,1,1,2,1,1,train,0,0.8478195455428137,1,Oui,Oui
9,1,2,4,1,2,5,3,1,test,1,0.4966901641899275,0,Oui,Non
10,2,0,0,2,0,7,5,2,test,2,0.06788330537395669,0,Non,Non
11,2,3,1,1,2,5,3,4,train,2,0.4005383428233216,0,Non,Non
12,2,2,2,1,2,3,4,3,train,2,0.3312479753118494,0,Non,Non
13,2,0,0,2,0,7,4,2,train,0,0.1425032874697846,0,Non,Non
14,1,3,1,1,2,2,2,2,train,0,0.9490357073430106,1,Oui,Oui
15,1,4,2,1,2,1,2,4,test,1,0.6222940369836266,1,Oui,Oui
16,2,2,2,1,3,2,3,4,train,2,0.2102824054195354,0,Non,Non
17,2,0,0,2,3,2,4,2,train,0,0.1945946968169108,0,Non,Non
18,1,3,4,1,2,1,3,3,train,1,0.84920374848698,1,Oui,Oui
19,2,2,1,1,2,7,4,1,train,0,0.3607492322574193,0,Non,Non
20,2,0,2,2,0,3,3,5,train,2,0.0896296189144722,0,Non,Non
21,1,5,2,1,3,2,2,1,train,0,0.7448627856742756,1,Oui,Oui
22,1,4,1,1,2,1,2,1,test,0,0.8745945365474247,1,Oui,Oui
23,2,3,1,1,2,5,4,4,train,2,0.26933622347258596,0,Non,Non
24,1,3,1,1,1,2,2,2,train,0,0.9565548861029587,1,Oui,Oui
25,1,4,1,1,2,4,3,2,test,0,0.936339193623484,1,Oui,Oui
26,1,3,1,1,2,2,3,2,test,0,0.9404769343221504,1,Oui,Oui
27,1,0,2,2,0,7,6,2,train,1,0.2735926402817293,0,Oui,Non
28,2,4,1,1,2,1,5,4,train,2,0.31652353998875166,0,Non,Non
29,1,5,1,1,2,1,2,2,train,0,0.9372447044553434,1,Oui,Oui
30,2,4,2,1,2,7,6,3,train,2,0.7092826194808433,1,Non,Oui
