Variable,Cramer_V,P_Value,Significatif_5pct,Modalites_train,Selectionnee
Q7,0.5304768211123413,4.842146377858688e-09,True,7,True
Q23,0.47069278617259974,8.480936300621286e-08,True,5,True
Q5,0.4361438023776846,3.043273934105086e-08,True,2,True
Q6,0.4028995717259822,3.0795335809633625e-06,True,4,True
Q3,0.39822328936259943,2.796878534732668e-05,True,7,True
Q4,0.39340220170022844,2.143006745503985e-05,True,6,True
Q18,0.3443306007767407,0.0001578249639972464,True,5,True
Q22,0.31282777959325214,0.002980220192258238,True,9,False
Q2,0.2682131006991252,0.008372503875831246,True,7,False
Q1,0.22165502469134948,0.003233982746372365,True,2,False
Q21,0.20169056894221246,0.024812810197790084,True,4,False
Q20a,0.18632394661201215,0.01127164619316261,True,2,False
Q20k,0.16935816081440463,0.01922813510796549,True,2,False
Q20g,0.14284557791268054,0.04067659217007739,True,2,False
Q20d,0.12557559909173804,0.06263090854326701,False,2,False
Q19c,0.1253052627369835,0.06303291860795791,False,2,False
Q20m,0.12349726220610024,0.06576991299498117,False,2,False
Q17,0.12226202768151251,0.06768849713327428,False,2,False
Q8f,0.10934131046260084,0.1438617274189661,False,3,False
Q16,0.09253059935743933,0.2521981021639695,False,5,False
Q9c,0.07226985905196048,0.2432216154849961,False,3,False
Q20c,0.06579480931528198,0.19469874368964935,False,2,False
Q19a,0.030598017409766552,0.28303530178695474,False,2,False
Q9a,0.0,0.437703116038872,False,3,False
Q8e,0.0,0.7949026854478798,False,3,False
Q8d,0.0,0.3869124411388748,False,3,False
Q8c,0.0,0.9208309538182956,False,3,False
Q8a,0.0,0.7520381694512053,False,3,False
Q8b,0.0,0.5641779342595716,False,3,False
Q8,0.0,1.0,False,2,False
Q9b,0.0,0.6173602648396123,False,3,False
Q19f,0.0,0.9334960503662149,False,2,False
Q19e,0.0,0.4894574150307931,False,2,False
Q19d,0.0,0.5301937330940192,False,2,False
Q19b,0.0,0.7301307745733374,False,2,False
Q9e,0.0,0.9600240717511931,False,3,False
Q9d,0.0,0.960382269165661,False,3,False
Q15,0.0,0.3982388945522449,False,2,False
Q9f,0.0,0.9178255184892923,False,3,False
Q20i,0.0,0.5346536982310197,False,2,False
Q20h,0.0,0.5301937330940192,False,2,False
Q20f,0.0,1.0,False,2,False
Q20e,0.0,0.5855429126272487,False,2,False
Q20b,0.0,0.6755995769930073,False,2,False
Q20j,0.0,1.0,False,2,False
Q20l,0.0,0.9653568419083568,False,2,False
Q20n,0.0,0.7658526084252577,False,5,False
